Iter 0000 | Time 1.3281(1.3281) | Bit/dim 28.4784(28.4784) | Logit LogP -15737.5439(-15737.5439) | Steps 43(43.00) | Reg 0.0000(0.0000)
Iter 0010 | Time 1.1096(1.3004) | Bit/dim 19.8109(26.7534) | Logit LogP -11026.0928(-14802.0381) | Steps 43(43.75) | Reg 0.0000(0.0000)
Iter 0020 | Time 1.2184(1.2587) | Bit/dim 12.6342(23.7152) | Logit LogP -7149.4692(-13153.4415) | Steps 43(43.56) | Reg 0.0000(0.0000)
Iter 0030 | Time 1.1956(1.2384) | Bit/dim 11.9753(20.8250) | Logit LogP -6773.5151(-11582.5869) | Steps 43(43.41) | Reg 0.0000(0.0000)
Iter 0040 | Time 1.1876(1.2377) | Bit/dim 11.1771(18.3854) | Logit LogP -6357.3433(-10260.4468) | Steps 49(44.88) | Reg 0.0000(0.0000)
Iter 0050 | Time 1.1712(1.2289) | Bit/dim 9.9903(16.3399) | Logit LogP -5694.2173(-9150.1314) | Steps 49(45.96) | Reg 0.0000(0.0000)
Iter 0060 | Time 1.1547(1.2056) | Bit/dim 8.5432(14.4925) | Logit LogP -4922.7861(-8147.8891) | Steps 43(45.18) | Reg 0.0000(0.0000)
Iter 0070 | Time 2.5161(1.3646) | Bit/dim 7.0123(12.7638) | Logit LogP -4088.8552(-7208.3503) | Steps 85(49.53) | Reg 0.0000(0.0000)
Iter 0080 | Time 3.5055(1.8586) | Bit/dim 6.3700(11.1238) | Logit LogP -3720.8760(-6316.1670) | Steps 127(65.43) | Reg 0.0000(0.0000)
Iter 0090 | Time 3.9351(2.3457) | Bit/dim 5.7889(9.7686) | Logit LogP -3418.8909(-5579.1305) | Steps 139(83.44) | Reg 0.0000(0.0000)
Iter 0100 | Time 3.8226(2.7730) | Bit/dim 5.4674(8.6634) | Logit LogP -3245.3071(-4979.4961) | Steps 133(97.85) | Reg 0.0000(0.0000)
Iter 0110 | Time 3.4516(2.9783) | Bit/dim 4.8584(7.7424) | Logit LogP -2939.6938(-4480.4557) | Steps 127(106.09) | Reg 0.0000(0.0000)
Iter 0120 | Time 3.0226(3.0220) | Bit/dim 4.5779(6.9865) | Logit LogP -2777.0037(-4069.3953) | Steps 115(109.62) | Reg 0.0000(0.0000)
Iter 0130 | Time 2.7047(2.9880) | Bit/dim 4.2091(6.3251) | Logit LogP -2567.8872(-3709.7147) | Steps 109(109.42) | Reg 0.0000(0.0000)
Iter 0140 | Time 2.7315(2.9269) | Bit/dim 4.4010(5.8205) | Logit LogP -2662.3635(-3434.4819) | Steps 103(108.57) | Reg 0.0000(0.0000)
Iter 0150 | Time 2.5647(2.9556) | Bit/dim 3.8502(5.3398) | Logit LogP -2364.0527(-3173.6045) | Steps 103(110.85) | Reg 0.0000(0.0000)
Iter 0160 | Time 3.0991(2.9398) | Bit/dim 3.3930(4.8772) | Logit LogP -2111.3965(-2923.5006) | Steps 115(110.77) | Reg 0.0000(0.0000)
Iter 0170 | Time 3.0860(2.9462) | Bit/dim 3.2823(4.4685) | Logit LogP -2049.5984(-2701.3416) | Steps 115(111.88) | Reg 0.0000(0.0000)
Iter 0180 | Time 2.7237(2.9304) | Bit/dim 3.0189(4.1085) | Logit LogP -1899.7004(-2504.7782) | Steps 109(112.36) | Reg 0.0000(0.0000)
Iter 0190 | Time 2.7277(2.8542) | Bit/dim 2.9319(3.8059) | Logit LogP -1855.4884(-2339.4540) | Steps 109(111.47) | Reg 0.0000(0.0000)
Iter 0200 | Time 2.6078(2.8012) | Bit/dim 2.8055(3.5638) | Logit LogP -1798.4353(-2209.1194) | Steps 109(110.82) | Reg 0.0000(0.0000)
Iter 0210 | Time 2.7183(2.7921) | Bit/dim 2.7229(3.3568) | Logit LogP -1748.7473(-2096.7356) | Steps 109(110.35) | Reg 0.0000(0.0000)
Iter 0220 | Time 2.7092(2.7460) | Bit/dim 2.6681(3.1843) | Logit LogP -1723.8655(-2002.7365) | Steps 109(109.99) | Reg 0.0000(0.0000)
Iter 0230 | Time 2.5707(2.7196) | Bit/dim 2.6687(3.0459) | Logit LogP -1727.7600(-1927.8903) | Steps 109(109.73) | Reg 0.0000(0.0000)
Iter 0240 | Time 2.7178(2.7014) | Bit/dim 2.6377(2.9394) | Logit LogP -1683.9614(-1869.6919) | Steps 109(109.54) | Reg 0.0000(0.0000)
Iter 0250 | Time 2.8070(2.7055) | Bit/dim 2.5601(2.8431) | Logit LogP -1671.0515(-1816.7177) | Steps 109(109.26) | Reg 0.0000(0.0000)
Iter 0260 | Time 2.4947(2.6755) | Bit/dim 2.4884(2.7493) | Logit LogP -1610.3342(-1765.7503) | Steps 103(108.84) | Reg 0.0000(0.0000)
Iter 0270 | Time 2.4836(2.6653) | Bit/dim 2.4346(2.6783) | Logit LogP -1598.1132(-1726.5516) | Steps 103(107.73) | Reg 0.0000(0.0000)
Iter 0280 | Time 2.6503(2.6546) | Bit/dim 2.4335(2.6143) | Logit LogP -1579.0669(-1692.0952) | Steps 103(106.49) | Reg 0.0000(0.0000)
Iter 0290 | Time 2.7320(2.6508) | Bit/dim 2.3724(2.5540) | Logit LogP -1558.7444(-1660.0652) | Steps 103(105.57) | Reg 0.0000(0.0000)
validating...
Epoch 0001 | Time 30.8664, Bit/dim 2.3241, Logit LogP -1535.6033
Iter 0300 | Time 2.7817(2.6344) | Bit/dim 2.3542(2.5038) | Logit LogP -1564.6993(-1633.8748) | Steps 103(104.90) | Reg 0.0000(0.0000)
